MP,Side,Gender,,
Johnson,Government,male,,
Raab,Government,male,,
Sunak,Government,male,,
Truss,Government,female,,
Patel,Government,female,,
Wallace,Government,male,,
Gove,Government,male,,
Javid,Government,male,,
Barclay,Government,male,,
Kwarteng,Government,male,,
Starmer,Opposition,male,,
Dodds,Opposition,female,,
Mahmood,Opposition,male,,
Reeves,Opposition,female,,
McFadden,Opposition,male,,
Lammy,Opposition,male,,
Cooper,Opposition,female,,
Phillipson,Opposition,female,,
Nandy,Opposition,female,,
Rayner,Opposition,female,,
